month,drug_id,therapy_area,formulary_tier,pharmacy_type,rx_count,total_cost,member_copay,plan_paid,unique_members
2022-02,DRG019,Gastroenterology,2,Retail,3,218.62,43.72,174.9,3
2022-02,DRG019,Gastroenterology,2,Specialty,3,356.54,71.31,285.23,3
2022-02,DRG020,Oncology,5,Mail Order,1,19759.22,11855.53,7903.69,1
2022-02,DRG020,Oncology,5,Retail,2,37809.57,22685.74,15123.83,2
2022-02,DRG020,Oncology,5,Specialty,2,37601.26,22560.75,15040.51,2
2022-03,DRG001,Immunology,4,Mail Order,2,13459.83,6056.92,7402.91,2
2022-03,DRG001,Immunology,4,Specialty,2,13159.98,5922.0,7237.98,2
2022-03,DRG002,Immunology,4,Mail Order,3,17495.98,7873.19,9622.79,3
2022-03,DRG002,Immunology,4,Retail,2,12081.09,5436.49,6644.6,2
2022-03,DRG002,Immunology,4,Specialty,5,29213.68,13146.17,16067.51,5
2022-03,DRG003,Cardiology,1,Mail Order,1,24.93,2.49,22.44,1
2022-03,DRG003,Cardiology,1,Retail,4,48.36,4.84,43.52,4
2022-03,DRG003,Cardiology,1,Specialty,1,23.47,2.35,21.12,1
2022-03,DRG004,Cardiology,2,Retail,4,125.92,25.18,100.74,4
2022-03,DRG004,Cardiology,2,Specialty,2,91.68,18.34,73.34,2
2022-03,DRG005,Diabetes,1,Mail Order,4,31.17,3.12,28.05,4
2022-03,DRG005,Diabetes,1,Retail,3,23.51,2.35,21.16,3
2022-03,DRG005,Diabetes,1,Specialty,3,28.53,2.86,25.67,3
2022-03,DRG006,Diabetes,3,Mail Order,5,997.6,299.28,698.32,5
2022-03,DRG006,Diabetes,3,Retail,1,84.37,25.31,59.06,1
2022-03,DRG006,Diabetes,3,Specialty,3,496.83,149.04,347.79,3
2022-03,DRG007,Diabetes,3,Mail Order,2,3355.82,1006.75,2349.07,2
2022-03,DRG007,Diabetes,3,Retail,2,1677.87,503.36,1174.51,2
2022-03,DRG007,Diabetes,3,Specialty,1,1705.1,511.53,1193.57,1
2022-03,DRG008,Oncology,5,Mail Order,4,90166.37,54099.83,36066.54,4
2022-03,DRG008,Oncology,5,Retail,2,43516.36,26109.81,17406.55,2
2022-03,DRG008,Oncology,5,Specialty,3,64756.43,38853.87,25902.56,3
2022-03,DRG009,Cardiology,2,Mail Order,5,2046.77,409.35,1637.42,5
2022-03,DRG009,Cardiology,2,Retail,3,1311.76,262.35,1049.41,3
2022-03,DRG010,Cardiology,2,Mail Order,1,273.82,54.76,219.06,1
2022-03,DRG010,Cardiology,2,Retail,3,548.18,109.64,438.54,3
2022-03,DRG010,Cardiology,2,Specialty,3,557.38,111.48,445.9,3
2022-03,DRG011,Pulmonology,2,Mail Order,1,92.39,18.48,73.91,1
2022-03,DRG011,Pulmonology,2,Retail,4,582.74,116.55,466.19,4
2022-03,DRG011,Pulmonology,2,Specialty,1,299.16,59.83,239.33,1
2022-03,DRG012,Pulmonology,2,Mail Order,3,649.96,129.99,519.97,3
2022-03,DRG012,Pulmonology,2,Retail,2,366.33,73.26,293.07,2
2022-03,DRG012,Pulmonology,2,Specialty,5,725.63,145.12,580.51,5
2022-03,DRG013,Dermatology,4,Mail Order,3,54791.62,24656.22,30135.4,3
2022-03,DRG013,Dermatology,4,Retail,3,51785.21,23303.34,28481.87,3
2022-03,DRG013,Dermatology,4,Specialty,1,17274.82,7773.67,9501.15,1
2022-03,DRG014,Dermatology,4,Retail,1,3081.45,1386.65,1694.8,1
2022-03,DRG014,Dermatology,4,Specialty,3,9509.92,4279.46,5230.46,3
2022-03,DRG015,Neurology,4,Mail Order,1,8381.94,3771.87,4610.07,1
2022-03,DRG015,Neurology,4,Retail,1,8014.79,3606.66,4408.13,1
2022-03,DRG015,Neurology,4,Specialty,1,7817.01,3517.65,4299.36,1
2022-03,DRG016,Cardiology,1,Mail Order,2,11.93,1.19,10.74,2
2022-03,DRG016,Cardiology,1,Retail,2,15.65,1.56,14.09,2
2022-03,DRG016,Cardiology,1,Specialty,5,38.73,3.86,34.87,5
2022-03,DRG017,Cardiology,1,Retail,1,11.82,1.18,10.64,1
2022-03,DRG017,Cardiology,1,Specialty,2,15.5,1.55,13.95,2
2022-03,DRG018,Gastroenterology,1,Mail Order,3,23.76,2.37,21.39,3
2022-03,DRG018,Gastroenterology,1,Retail,1,11.65,1.17,10.48,1
2022-03,DRG018,Gastroenterology,1,Specialty,3,35.82,3.58,32.24,3
2022-03,DRG019,Gastroenterology,2,Mail Order,1,46.36,9.27,37.09,1
2022-03,DRG019,Gastroenterology,2,Specialty,2,273.05,54.61,218.44,2
2022-03,DRG020,Oncology,5,Mail Order,3,57283.26,34369.96,22913.3,3
2022-03,DRG020,Oncology,5,Retail,2,37736.31,22641.79,15094.52,2
2022-03,DRG020,Oncology,5,Specialty,2,37189.05,22313.43,14875.62,2
2022-04,DRG001,Immunology,4,Mail Order,1,6437.3,2896.79,3540.51,1
2022-04,DRG001,Immunology,4,Retail,4,25213.47,11346.07,13867.4,4
2022-04,DRG001,Immunology,4,Specialty,4,25334.23,11400.41,13933.82,4
2022-04,DRG002,Immunology,4,Mail Order,1,6083.45,2737.55,3345.9,1
2022-04,DRG002,Immunology,4,Retail,3,16948.1,7626.65,9321.45,3
2022-04,DRG003,Cardiology,1,Mail Order,1,35.63,3.56,32.07,1
2022-04,DRG003,Cardiology,1,Specialty,5,171.32,17.14,154.18,5
2022-04,DRG004,Cardiology,2,Mail Order,3,145.7,29.14,116.56,3
2022-04,DRG004,Cardiology,2,Specialty,3,141.67,28.33,113.34,3
2022-04,DRG005,Diabetes,1,Retail,2,7.79,0.78,7.01,2
2022-04,DRG005,Diabetes,1,Specialty,5,35.06,3.51,31.55,5
2022-04,DRG006,Diabetes,3,Retail,1,263.84,79.15,184.69,1
2022-04,DRG006,Diabetes,3,Specialty,4,749.02,224.7,524.32,4
2022-04,DRG007,Diabetes,3,Mail Order,2,2553.39,766.01,1787.38,2
2022-04,DRG007,Diabetes,3,Retail,2,1669.17,500.75,1168.42,2
2022-04,DRG007,Diabetes,3,Specialty,2,5082.42,1524.72,3557.7,2
2022-04,DRG008,Oncology,5,Mail Order,1,22076.93,13246.16,8830.77,1
2022-04,DRG008,Oncology,5,Retail,6,129614.55,77768.73,51845.82,6
2022-04,DRG009,Cardiology,2,Mail Order,3,1000.8,200.16,800.64,3
2022-04,DRG009,Cardiology,2,Retail,3,558.22,111.64,446.58,3
2022-04,DRG009,Cardiology,2,Specialty,1,421.17,84.23,336.94,1
2022-04,DRG010,Cardiology,2,Mail Order,2,551.29,110.26,441.03,2
2022-04,DRG010,Cardiology,2,Retail,2,274.07,54.81,219.26,2
2022-04,DRG010,Cardiology,2,Specialty,1,136.95,27.39,109.56,1
2022-04,DRG011,Pulmonology,2,Mail Order,5,780.7,156.14,624.56,5
2022-04,DRG011,Pulmonology,2,Retail,6,1507.89,301.59,1206.3,6
2022-04,DRG011,Pulmonology,2,Specialty,5,1034.5,206.91,827.59,5
2022-04,DRG012,Pulmonology,2,Mail Order,5,815.95,163.18,652.77,5
2022-04,DRG012,Pulmonology,2,Retail,3,442.3,88.46,353.84,3
2022-04,DRG013,Dermatology,4,Mail Order,2,36631.19,16484.03,20147.16,2
2022-04,DRG013,Dermatology,4,Retail,3,53074.86,23883.68,29191.18,3
2022-04,DRG013,Dermatology,4,Specialty,2,37202.52,16741.13,20461.39,2
2022-04,DRG014,Dermatology,4,Mail Order,1,3064.42,1378.99,1685.43,1
2022-04,DRG014,Dermatology,4,Retail,3,9370.1,4216.54,5153.56,3
2022-04,DRG015,Neurology,4,Mail Order,1,7909.33,3559.2,4350.13,1
2022-04,DRG015,Neurology,4,Retail,2,16606.19,7472.79,9133.4,2
2022-04,DRG016,Cardiology,1,Mail Order,3,11.63,1.16,10.47,3
2022-04,DRG016,Cardiology,1,Retail,1,9.4,0.94,8.46,1
2022-04,DRG016,Cardiology,1,Specialty,6,44.74,4.49,40.25,6
2022-04,DRG017,Cardiology,1,Mail Order,1,11.54,1.15,10.39,1
2022-04,DRG017,Cardiology,1,Retail,1,4.05,0.41,3.64,1
2022-04,DRG017,Cardiology,1,Specialty,2,15.87,1.59,14.28,2
2022-04,DRG018,Gastroenterology,1,Mail Order,2,23.67,2.37,21.3,2
2022-04,DRG018,Gastroenterology,1,Retail,1,12.09,1.21,10.88,1
2022-04,DRG018,Gastroenterology,1,Specialty,2,35.45,3.55,31.9,2
2022-04,DRG019,Gastroenterology,2,Mail Order,1,46.97,9.39,37.58,1
2022-04,DRG019,Gastroenterology,2,Retail,2,179.35,35.87,143.48,2
2022-04,DRG019,Gastroenterology,2,Specialty,3,361.81,72.36,289.45,3
2022-04,DRG020,Oncology,5,Retail,2,38626.26,23175.76,15450.5,2
2022-04,DRG020,Oncology,5,Specialty,2,37780.55,22668.33,15112.22,2
2022-05,DRG001,Immunology,4,Mail Order,1,6423.01,2890.35,3532.66,1
2022-05,DRG001,Immunology,4,Retail,5,32147.55,14466.41,17681.14,5
2022-05,DRG001,Immunology,4,Specialty,2,12907.2,5808.24,7098.96,2
2022-05,DRG002,Immunology,4,Mail Order,3,17816.8,8017.55,9799.25,3
2022-05,DRG002,Immunology,4,Retail,4,23022.15,10359.96,12662.19,4
2022-05,DRG002,Immunology,4,Specialty,2,11557.91,5201.06,6356.85,2
2022-05,DRG003,Cardiology,1,Mail Order,2,34.8,3.49,31.31,2
2022-05,DRG003,Cardiology,1,Retail,1,24.45,2.45,22.0,1
2022-05,DRG003,Cardiology,1,Specialty,1,24.84,2.48,22.36,1
2022-05,DRG004,Cardiology,2,Mail Order,3,125.16,25.03,100.13,3
2022-05,DRG004,Cardiology,2,Retail,5,199.9,39.98,159.92,5
2022-05,DRG004,Cardiology,2,Specialty,1,17.13,3.43,13.7,1
2022-05,DRG005,Diabetes,1,Mail Order,1,11.49,1.15,10.34,1
2022-05,DRG005,Diabetes,1,Retail,1,8.11,0.81,7.3,1
2022-05,DRG005,Diabetes,1,Specialty,3,24.21,2.43,21.78,3
2022-05,DRG006,Diabetes,3,Mail Order,5,1017.32,305.2,712.12,5
2022-05,DRG006,Diabetes,3,Retail,3,504.35,151.3,353.05,3
2022-05,DRG006,Diabetes,3,Specialty,2,327.82,98.34,229.48,2
2022-05,DRG007,Diabetes,3,Mail Order,2,3426.06,1027.82,2398.24,2
2022-05,DRG007,Diabetes,3,Retail,1,1765.72,529.72,1236.0,1
2022-05,DRG008,Oncology,5,Mail Order,2,44025.51,26415.3,17610.21,2
2022-05,DRG008,Oncology,5,Retail,1,21717.03,13030.22,8686.81,1
2022-05,DRG008,Oncology,5,Specialty,4,87256.44,52353.86,34902.58,4
2022-05,DRG009,Cardiology,2,Mail Order,5,1873.14,374.63,1498.51,5
2022-05,DRG010,Cardiology,2,Mail Order,2,549.32,109.86,439.46,2
2022-05,DRG010,Cardiology,2,Retail,4,974.51,194.9,779.61,4
2022-05,DRG010,Cardiology,2,Specialty,4,829.79,165.95,663.84,4
2022-05,DRG011,Pulmonology,2,Mail Order,3,662.17,132.43,529.74,3
2022-05,DRG011,Pulmonology,2,Retail,2,187.54,37.51,150.03,2
2022-05,DRG011,Pulmonology,2,Specialty,2,371.55,74.31,297.24,2
2022-05,DRG012,Pulmonology,2,Mail Order,4,643.07,128.62,514.45,4
2022-05,DRG012,Pulmonology,2,Retail,5,818.63,163.73,654.9,5
2022-05,DRG012,Pulmonology,2,Specialty,1,261.91,52.38,209.53,1
2022-05,DRG013,Dermatology,4,Mail Order,1,17724.13,7975.86,9748.27,1
2022-05,DRG013,Dermatology,4,Specialty,2,36494.98,16422.74,20072.24,2
2022-05,DRG014,Dermatology,4,Mail Order,1,3307.31,1488.29,1819.02,1
2022-05,DRG014,Dermatology,4,Retail,1,3267.01,1470.15,1796.86,1
2022-05,DRG014,Dermatology,4,Specialty,2,6227.33,2802.3,3425.03,2
2022-05,DRG015,Neurology,4,Mail Order,1,8479.33,3815.7,4663.63,1
2022-05,DRG015,Neurology,4,Retail,2,16672.33,7502.54,9169.79,2
2022-05,DRG015,Neurology,4,Specialty,4,32572.24,14657.51,17914.73,4
2022-05,DRG016,Cardiology,1,Retail,1,8.73,0.87,7.86,1
2022-05,DRG016,Cardiology,1,Specialty,1,9.38,0.94,8.44,1
2022-05,DRG017,Cardiology,1,Retail,1,4.06,0.41,3.65,1
2022-05,DRG017,Cardiology,1,Specialty,2,7.94,0.8,7.14,2
2022-05,DRG018,Gastroenterology,1,Mail Order,3,35.65,3.56,32.09,3
2022-05,DRG018,Gastroenterology,1,Retail,5,90.35,9.03,81.32,5
2022-05,DRG018,Gastroenterology,1,Specialty,4,24.21,2.42,21.79,4
2022-05,DRG019,Gastroenterology,2,Mail Order,1,141.56,28.31,113.25,1
2022-05,DRG019,Gastroenterology,2,Retail,2,132.45,26.49,105.96,2
2022-05,DRG019,Gastroenterology,2,Specialty,2,178.68,35.73,142.95,2
2022-05,DRG020,Oncology,5,Mail Order,1,18704.32,11222.59,7481.73,1
2022-05,DRG020,Oncology,5,Retail,4,74773.2,44863.92,29909.28,4
2022-05,DRG020,Oncology,5,Specialty,3,57923.41,34754.04,23169.37,3
2022-06,DRG001,Immunology,4,Retail,1,6664.91,2999.21,3665.7,1
2022-06,DRG001,Immunology,4,Specialty,2,13472.15,6062.47,7409.68,2
2022-06,DRG002,Immunology,4,Mail Order,3,17195.43,7737.95,9457.48,3
2022-06,DRG002,Immunology,4,Retail,1,5520.05,2484.02,3036.03,1
2022-06,DRG002,Immunology,4,Specialty,5,29146.02,13115.71,16030.31,5
2022-06,DRG003,Cardiology,1,Mail Order,3,70.33,7.03,63.3,3
2022-06,DRG003,Cardiology,1,Specialty,3,82.26,8.23,74.03,3
2022-06,DRG004,Cardiology,2,Mail Order,3,144.2,28.84,115.36,3
2022-06,DRG004,Cardiology,2,Retail,1,34.56,6.91,27.65,1
2022-06,DRG004,Cardiology,2,Specialty,2,54.47,10.89,43.58,2
2022-06,DRG005,Diabetes,1,Mail Order,7,42.95,4.32,38.63,7
2022-06,DRG005,Diabetes,1,Retail,1,7.93,0.79,7.14,1
2022-06,DRG005,Diabetes,1,Specialty,1,3.83,0.38,3.45,1
2022-06,DRG006,Diabetes,3,Mail Order,2,335.54,100.66,234.88,2
2022-06,DRG006,Diabetes,3,Retail,1,258.32,77.5,180.82,1
2022-06,DRG007,Diabetes,3,Mail Order,2,4243.9,1273.17,2970.73,2
2022-06,DRG007,Diabetes,3,Retail,3,5129.27,1538.78,3590.49,3
2022-06,DRG007,Diabetes,3,Specialty,4,6800.63,2040.19,4760.44,4
2022-06,DRG008,Oncology,5,Mail Order,1,22469.08,13481.45,8987.63,1
2022-06,DRG008,Oncology,5,Retail,1,22654.64,13592.78,9061.86,1
2022-06,DRG008,Oncology,5,Specialty,5,110667.58,66400.56,44267.02,5
2022-06,DRG009,Cardiology,2,Mail Order,2,434.15,86.83,347.32,2
2022-06,DRG009,Cardiology,2,Retail,2,724.19,144.84,579.35,2
2022-06,DRG009,Cardiology,2,Specialty,2,289.6,57.92,231.68,2
2022-06,DRG010,Cardiology,2,Retail,2,426.54,85.31,341.23,2
2022-06,DRG010,Cardiology,2,Specialty,1,140.51,28.1,112.41,1
2022-06,DRG011,Pulmonology,2,Retail,3,660.57,132.12,528.45,3
2022-06,DRG011,Pulmonology,2,Specialty,5,772.14,154.43,617.71,5
2022-06,DRG012,Pulmonology,2,Mail Order,4,909.25,181.85,727.4,4
2022-06,DRG012,Pulmonology,2,Retail,3,635.86,127.18,508.68,3
2022-06,DRG012,Pulmonology,2,Specialty,3,539.49,107.9,431.59,3
2022-06,DRG013,Dermatology,4,Mail Order,1,17920.91,8064.41,9856.5,1
2022-06,DRG013,Dermatology,4,Retail,3,52941.96,23823.88,29118.08,3
2022-06,DRG013,Dermatology,4,Specialty,2,36231.56,16304.2,19927.36,2
2022-06,DRG014,Dermatology,4,Mail Order,3,9880.16,4446.08,5434.08,3
2022-06,DRG014,Dermatology,4,Retail,2,6353.58,2859.11,3494.47,2
2022-06,DRG014,Dermatology,4,Specialty,6,19083.35,8587.51,10495.84,6
2022-06,DRG015,Neurology,4,Mail Order,1,8125.17,3656.33,4468.84,1
2022-06,DRG015,Neurology,4,Retail,1,8205.88,3692.65,4513.23,1
2022-06,DRG015,Neurology,4,Specialty,1,8322.33,3745.05,4577.28,1
2022-06,DRG016,Cardiology,1,Mail Order,3,15.03,1.5,13.53,3
2022-06,DRG016,Cardiology,1,Retail,1,3.14,0.31,2.83,1
2022-06,DRG016,Cardiology,1,Specialty,2,5.81,0.58,5.23,2
2022-06,DRG017,Cardiology,1,Mail Order,3,31.78,3.17,28.61,3
2022-06,DRG017,Cardiology,1,Retail,1,3.96,0.4,3.56,1
2022-06,DRG017,Cardiology,1,Specialty,1,3.99,0.4,3.59,1
2022-06,DRG018,Gastroenterology,1,Mail Order,2,24.62,2.46,22.16,2
2022-06,DRG018,Gastroenterology,1,Retail,2,18.23,1.82,16.41,2
2022-06,DRG018,Gastroenterology,1,Specialty,4,36.09,3.61,32.48,4
2022-06,DRG019,Gastroenterology,2,Mail Order,7,777.36,155.46,621.9,7
2022-06,DRG019,Gastroenterology,2,Retail,2,88.85,17.77,71.08,2
2022-06,DRG019,Gastroenterology,2,Specialty,4,323.64,64.73,258.91,4
2022-06,DRG020,Oncology,5,Mail Order,2,36628.16,21976.9,14651.26,2
2022-06,DRG020,Oncology,5,Retail,3,58572.93,35143.76,23429.17,3
2022-06,DRG020,Oncology,5,Specialty,3,56873.6,34124.15,22749.45,3
2022-07,DRG001,Immunology,4,Mail Order,3,19296.54,8683.44,10613.1,3
2022-07,DRG001,Immunology,4,Retail,3,19910.69,8959.81,10950.88,3
2022-07,DRG001,Immunology,4,Specialty,4,26064.08,11728.83,14335.25,4
2022-07,DRG002,Immunology,4,Mail Order,3,17323.91,7795.77,9528.14,3
2022-07,DRG002,Immunology,4,Retail,1,5768.08,2595.64,3172.44,1
2022-07,DRG003,Cardiology,1,Mail Order,5,105.97,10.61,95.36,5
2022-07,DRG003,Cardiology,1,Retail,1,24.19,2.42,21.77,1
2022-07,DRG003,Cardiology,1,Specialty,1,36.31,3.63,32.68,1
2022-07,DRG004,Cardiology,2,Mail Order,1,17.56,3.51,14.05,1
2022-07,DRG004,Cardiology,2,Retail,5,164.11,32.83,131.28,5
2022-07,DRG004,Cardiology,2,Specialty,6,245.7,49.14,196.56,6
2022-07,DRG005,Diabetes,1,Mail Order,5,31.98,3.19,28.79,5
2022-07,DRG005,Diabetes,1,Retail,3,12.02,1.21,10.81,3
2022-07,DRG005,Diabetes,1,Specialty,2,15.93,1.6,14.33,2
2022-07,DRG006,Diabetes,3,Retail,4,428.76,128.62,300.14,4
2022-07,DRG006,Diabetes,3,Specialty,2,333.41,100.02,233.39,2
2022-07,DRG007,Diabetes,3,Mail Order,4,7789.12,2336.73,5452.39,4
2022-07,DRG007,Diabetes,3,Retail,2,2570.29,771.08,1799.21,2
2022-07,DRG007,Diabetes,3,Specialty,2,4052.42,1215.73,2836.69,2
2022-07,DRG008,Oncology,5,Mail Order,3,67581.68,40549.01,27032.67,3
2022-07,DRG008,Oncology,5,Retail,5,109572.02,65743.21,43828.81,5
2022-07,DRG008,Oncology,5,Specialty,2,43534.35,26120.61,17413.74,2
2022-07,DRG009,Cardiology,2,Mail Order,4,1293.26,258.65,1034.61,4
2022-07,DRG009,Cardiology,2,Retail,2,441.76,88.35,353.41,2
2022-07,DRG009,Cardiology,2,Specialty,4,1443.4,288.68,1154.72,4
2022-07,DRG010,Cardiology,2,Mail Order,2,278.33,55.66,222.67,2
2022-07,DRG010,Cardiology,2,Retail,3,949.75,189.95,759.8,3
